DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.004;0.016;-0.001
40;-0.004;0.016;-0.001
80;0.002;0.011;0.002
120;-0.005;-0.003;0.001
160;-0.001;0.002;0.002
200;-0.002;-0.001;0.002
240;0.002;0.004;0.000
280;0.004;0.002;0.002
320;0.004;0.000;0.001
360;0.003;0.002;0.001
400;0.003;0.002;0.002
440;0.004;-0.001;0.001
460;0.004;0.001;0.001
500;0.007;0.004;0.001
540;0.007;0.001;0.002
580;0.007;-0.001;-0.001
620;0.005;-0.001;-0.001
660;0.006;-0.002;0.002
700;0.002;-0.004;0.002
740;0.003;0.002;-0.001
780;0.005;0.002;0.001
820;0.002;0.001;0.001
860;0.005;0.007;0.000
900;0.001;0.002;0.001
940;0.003;-0.001;0.001
980;-0.001;-0.001;0.001
1020;0.001;0.000;0.001
1060;0.001;0.000;0.001
1100;0.000;0.001;0.001
1140;-0.002;0.000;0.001
1180;-0.002;0.002;0.000
1220;-0.002;-0.002;-0.001
1260;-0.002;-0.002;-0.001
1300;-0.002;-0.002;-0.001
1340;-0.004;-0.002;-0.001
1380;-0.004;0.000;-0.001
1420;-0.001;0.002;-0.001
1460;-0.002;-0.002;-0.002
1500;-0.002;-0.002;-0.002
1540;-0.001;-0.003;-0.001
1580;-0.001;-0.004;-0.001
1620;-0.001;-0.002;-0.001
1660;-0.001;-0.002;-0.001
1680;0.001;-0.003;0.000
1720;0.001;-0.003;-0.001
1760;-0.001;0.000;0.000
1800;-0.001;-0.001;0.001
1840;-0.002;0.000;0.000
1880;-0.002;-0.001;-0.001
1920;-0.002;-0.005;-0.002
1960;-0.002;0.001;-0.001
2000;-0.005;-0.004;-0.001
2040;0.000;-0.001;-0.001
2080;-0.004;-0.003;-0.002
2120;-0.001;-0.003;-0.002
2160;-0.002;-0.004;-0.001
2200;-0.001;-0.002;0.001
2240;-0.002;-0.001;-0.001
2280;0.000;0.000;0.000
2320;0.001;0.000;-0.001
2360;0.000;-0.001;-0.002
2400;0.001;-0.001;-0.001
2440;0.001;-0.001;-0.001
2480;0.001;-0.003;-0.001
2520;0.002;-0.001;-0.001
2560;0.003;-0.001;-0.001
2600;0.005;0.000;-0.001
2640;0.005;0.001;-0.001
2680;0.007;-0.002;-0.001
2720;0.009;0.001;0.000
2760;0.009;-0.004;0.000
2800;0.008;0.001;0.000
2840;0.005;0.002;0.001
2880;0.009;0.000;0.000
2920;0.009;0.004;0.001
2960;0.011;-0.001;0.000
3000;0.009;0.000;0.000
3040;0.009;0.003;0.001
3080;0.007;0.001;0.000
3120;0.007;0.004;0.001
3160;0.005;0.003;0.000
3200;0.000;0.000;0.000
3240;-0.005;0.001;0.002
3280;-0.026;-0.003;0.004
3320;-0.026;-0.001;0.005
3360;-0.027;-0.004;0.006
3400;-0.030;-0.005;0.004
3440;-0.040;0.001;0.006
3480;-0.069;0.001;0.004
3520;-0.100;0.011;0.009
3560;-0.132;0.017;0.009
3600;-0.189;0.005;-0.007
3640;-0.245;0.013;-0.019
3680;-0.291;0.016;-0.016
3720;-0.385;0.015;-0.016
3760;-0.450;0.023;-0.020
3800;-0.533;0.016;-0.024
3840;-0.625;0.035;-0.013
3880;-0.703;0.029;-0.008
3920;-0.807;0.017;-0.024
3960;-0.898;0.029;-0.034
4000;-0.984;0.043;-0.040
4040;-1.051;0.023;-0.053
4080;-1.215;0.062;-0.044
4120;-1.254;0.040;-0.052
4160;-1.020;0.251;-0.054
4200;-0.701;0.250;-0.040
4240;-0.261;0.129;-0.089
4280;-0.192;0.024;-0.001
4320;-0.045;0.049;0.035
4360;0.087;-0.012;-0.033
4400;0.237;-0.137;0.023
4440;0.340;-0.114;0.059
4480;0.559;-0.112;0.049
4520;0.740;-0.133;0.075
4560;0.875;-0.159;0.111
4600;1.043;-0.197;0.141
4640;1.208;-0.172;0.166
4680;1.349;-0.192;0.141
4720;1.313;-0.151;0.112
4760;1.146;-0.133;0.084
4800;0.930;-0.259;0.104
4840;0.809;-0.429;0.060
4880;0.702;-0.571;0.024
4920;0.684;-0.263;0.029
4960;0.585;0.091;0.134
5000;0.219;-0.052;0.323
5040;0.096;-0.238;0.175
5080;0.070;-0.183;-0.026
5120;-0.007;-0.154;-0.025
5140;-0.027;-0.085;-0.016
5180;-0.023;0.178;-0.097
5220;0.016;0.400;-0.238
5260;-0.017;0.498;-0.279
5300;0.085;0.414;-0.178
5340;0.048;0.086;-0.072
5380;0.285;-0.290;0.023
5420;0.007;-0.176;0.013
5460;0.201;0.267;0.071
5500;0.097;0.161;-0.021
5540;0.076;-0.221;-0.135
5580;0.073;-0.463;-0.274
5620;0.097;-0.549;-0.155
5660;0.007;-0.486;0.005
5700;-0.039;-0.473;0.019
5740;0.042;-0.450;0.032
5780;0.045;-0.428;0.086
5820;0.077;-0.505;0.216
5860;0.102;-0.619;0.268
5900;0.103;-0.469;0.211
5940;0.230;-0.161;0.072
5980;0.693;-0.144;-0.261
6020;0.577;0.326;-0.311
6060;0.164;-0.444;-0.067
6100;-0.220;-0.970;-0.066
6140;-0.126;-0.337;-0.112
6180;-0.037;0.155;0.122
6220;0.021;0.338;0.270
6260;-0.054;0.652;0.037
6300;-0.076;0.601;-0.079
6320;-0.090;0.538;-0.086
6360;-0.090;0.471;-0.155
6400;-0.029;0.629;-0.255
6440;0.067;0.814;-0.398
6480;0.029;0.489;-0.341
6520;0.107;0.331;-0.175
6560;0.015;0.425;0.080
6600;0.305;0.073;0.437
6640;0.167;0.267;0.284
6680;-0.151;0.472;0.181
6720;-0.081;-0.023;0.142
6760;-0.105;-0.217;-0.142
6800;-0.167;-0.364;-0.169
6840;-0.089;-0.550;-0.022
6880;-0.138;-0.415;0.042
6920;-0.109;-0.362;0.097
6960;-0.070;-0.346;0.162
7000;0.010;-0.344;0.271
7040;0.071;-0.489;0.359
7080;0.184;-0.313;0.416
7120;0.313;0.081;0.307
7160;0.634;0.180;0.192
7200;0.745;0.774;-0.668
7240;0.334;1.066;-0.319
7280;-0.094;0.654;-0.341
7320;-0.095;1.465;-0.365
7360;-0.078;1.980;-0.084
7400;-0.103;2.359;0.076
7440;-0.125;2.593;-0.048
7480;-0.167;2.684;-0.119
7520;-0.154;2.550;-0.090
7560;0.060;2.539;-0.237
7600;0.108;2.485;-0.356
7640;0.048;2.182;-0.284
7680;0.045;1.965;-0.293
7720;0.193;1.938;-0.349
7760;0.341;2.292;-0.331
7800;-0.227;2.789;-0.098
7840;0.005;2.004;0.363
7880;-0.029;2.302;-0.013
7920;-0.150;2.092;-0.009
7960;-0.100;1.946;-0.079
8000;-0.203;2.046;-0.116
8040;-0.289;2.153;-0.043
8080;-0.259;2.004;0.042
8120;-0.216;1.849;0.099
8160;-0.158;1.696;0.090
8200;-0.173;1.588;0.179
8240;-0.001;1.332;0.382
8280;0.406;1.050;0.447
8320;0.743;0.930;0.217
8360;0.572;1.643;-0.334
8400;0.364;1.812;0.005
8440;0.185;1.629;-0.012
8480;0.170;1.894;-0.081
8520;0.238;2.130;0.130
8560;0.299;2.258;0.151
8600;0.301;2.301;0.073
8640;0.243;2.106;0.074
8680;0.172;1.774;0.102
8720;0.186;1.440;0.070
8760;0.116;1.161;-0.113
8800;0.071;0.973;-0.122
8840;0.153;0.966;-0.167
8880;0.322;0.927;-0.262
8920;0.450;0.932;-0.307
8960;0.024;0.992;-0.309
9000;0.386;0.885;0.115
9040;0.078;0.864;0.015
9080;-0.039;0.810;0.031
9120;-0.065;0.170;-0.143
9160;-0.021;-0.297;-0.379
9200;-0.134;-0.186;-0.292
9240;-0.060;-0.235;-0.089
9280;-0.139;-0.104;-0.016
9320;-0.086;-0.075;-0.005
9360;-0.034;-0.038;0.039
9400;0.040;-0.167;0.242
9440;0.128;-0.397;0.308
9480;0.299;-0.120;0.111
9520;0.477;0.108;-0.070
9560;0.737;-0.075;-0.540
9600;0.441;0.345;-0.490
9640;-0.030;-0.132;-0.177
9680;-0.179;-0.111;-0.188
9720;0.053;0.391;0.081
9760;0.026;0.621;0.224
9800;0.034;0.795;0.161
9840;-0.026;0.778;0.004
9880;-0.084;0.688;-0.117
9920;0.024;0.738;-0.195
9960;0.167;0.866;-0.315
10000;0.109;0.865;-0.441
10040;0.096;0.446;-0.194
10080;0.169;0.359;-0.179
10120;-0.018;0.458;0.227
10160;0.226;0.174;0.343
10200;-0.035;0.881;0.119
10240;-0.319;0.933;0.074
10280;-0.100;0.423;0.048
10320;-0.117;0.178;-0.212
10360;-0.142;-0.037;-0.190
10400;-0.143;0.042;-0.032
10440;-0.228;0.285;0.136
10480;-0.126;0.356;0.232
10520;0.010;0.381;0.271
10560;0.042;0.435;0.311
10600;-0.006;0.430;0.529
10640;0.112;0.608;0.567
10680;0.587;0.688;0.214
10720;0.751;0.498;-0.432
10760;0.387;1.369;-0.600
10800;-0.037;1.631;-0.313
10840;-0.012;2.103;-0.258
10880;0.101;2.604;-0.254
10920;0.013;3.007;-0.165
10960;0.000;3.253;-0.171
11000;-0.037;3.345;-0.260
11040;-0.091;3.395;-0.302
11080;-0.045;3.454;-0.299
11120;-0.007;3.429;-0.307
11140;-0.017;3.357;-0.332
11180;-0.034;3.166;-0.307
11220;-0.070;2.957;-0.227
11260;-0.116;2.954;-0.362
11300;-0.230;2.959;-0.522
11340;-0.598;3.247;-0.504
11380;-0.681;2.756;-0.059
11420;-0.711;2.556;0.007
11460;-0.582;2.647;-0.148
11500;-0.585;2.347;0.181
11540;-0.334;1.850;0.376
11580;-0.250;1.704;0.294
11620;-0.348;1.414;0.472
11660;-0.540;1.258;0.591
11680;-0.673;1.205;0.575
11720;-0.785;1.040;0.528
11760;-0.925;0.925;0.513
11800;-1.147;0.677;0.379
11840;-1.110;1.019;0.296
11880;-1.153;1.357;0.286
11920;-0.927;0.315;0.128
11960;-0.863;0.216;0.102
12000;-0.754;0.197;-0.018
12040;-0.530;0.312;-0.018
12080;-0.303;0.247;-0.038
12120;-0.256;0.223;-0.090
12160;-0.099;0.272;-0.078
12200;0.053;0.161;0.004
12240;0.274;0.054;0.107
12280;0.365;-0.073;0.062
12320;0.414;-0.146;0.023
12360;0.559;-0.173;0.001
12400;0.686;-0.153;0.016
12440;0.842;-0.156;0.037
12480;0.924;-0.191;0.042
12519;0.988;-0.304;0.021
12559;0.861;-0.166;-0.007
12600;0.687;-0.031;0.029
12640;0.657;-0.014;-0.020
12679;0.657;-0.020;-0.090
12720;0.630;-0.051;-0.106
12760;0.529;-0.143;-0.098
12799;0.451;-0.040;-0.069
12839;0.376;0.063;-0.084
12880;0.290;0.010;-0.057
12920;0.290;0.049;-0.051
12959;0.266;0.066;-0.033
13000;0.217;0.004;-0.007
13040;0.191;0.015;-0.009
13079;0.104;-0.036;-0.013
13119;0.015;-0.068;-0.004
13160;-0.035;-0.110;0.046
13200;0.092;-0.176;0.045
13239;0.071;-0.021;0.056
13280;0.066;0.183;0.042
13320;-0.047;0.144;0.049
13360;-0.027;0.045;0.018
13399;-0.009;0.001;0.006
13440;0.004;-0.003;0.004
13459;0.016;0.021;-0.001
13500;0.032;0.061;0.003
13540;0.021;-0.002;-0.004
13579;0.028;-0.032;-0.009
13619;0.008;-0.023;-0.013
13660;0.004;-0.003;-0.018
13700;0.004;0.001;-0.023
13739;0.002;-0.002;-0.024
13780;-0.007;0.003;-0.028
13820;-0.016;-0.009;-0.027
13860;-0.017;-0.011;-0.029
13899;-0.012;-0.006;-0.023
13940;-0.012;-0.013;-0.024
13980;-0.011;-0.012;-0.023
14019;-0.017;-0.011;-0.021
14059;-0.020;-0.012;-0.020
14100;-0.020;-0.010;-0.018
14140;-0.013;-0.017;-0.017
14179;-0.009;-0.018;-0.018
14220;-0.011;-0.016;-0.015
14260;-0.016;-0.018;-0.013
14299;-0.021;-0.012;-0.012
14339;-0.018;-0.009;-0.007
14380;-0.017;-0.004;-0.003
14420;-0.021;-0.009;0.002
14459;-0.016;0.004;0.006
14500;-0.027;0.001;0.009
14540;-0.021;0.005;0.012
14579;-0.016;0.007;0.010
14619;-0.019;0.005;0.010
14660;-0.021;0.009;0.009
14700;-0.018;0.013;0.010
14739;-0.022;0.007;0.007
14780;-0.018;0.004;0.007
14820;-0.015;0.001;0.004
14860;0.013;-0.003;-0.001
14899;0.014;-0.011;0.001
14940;0.014;-0.015;-0.002
14980;0.032;-0.032;-0.005
15019;0.027;-0.027;-0.005
15059;0.039;-0.043;-0.008
15100;0.027;-0.031;-0.007
15140;0.024;-0.034;-0.007
15179;0.021;-0.027;-0.007
15220;0.034;-0.036;-0.006
15260;0.015;-0.019;-0.005
15299;0.013;-0.027;-0.002
15339;-0.001;-0.001;-0.001
15380;-0.035;0.010;0.002
15420;-0.080;0.054;0.004
15459;-0.098;0.082;0.008
15500;-0.084;0.059;0.003
15540;-0.081;0.069;0.002
15579;-0.068;0.067;0.002
15619;-0.002;-0.032;0.005
15640;-0.018;0.002;-0.001
15679;-0.001;0.000;0.001
